region_id,merchart_id,sub_category_code,product_id,product_name,product_brand,product_price,product_promo_price,product_url
1,48,tverdye_i_polutverdye,9288,"Сыр полутвердый АШАН Красная птица Гауда 45% нарезка БЗМЖ, 350 г",АШАН Красная птица,269,342.98,https://www.auchan.ru/product/syr-tverdyy-lakomo-gauda-48-narezka-350-g/
1,48,tverdye_i_polutverdye,280836,"Сыр полутвердый АШАН Красная птица легкий 30% БЗМЖ, вес",АШАН Красная птица,699.9,899.99,https://www.auchan.ru/product/kp-syr-legkiy-30-1-2-shara-ves/
1,48,tverdye_i_polutverdye,280835,"Сыр полутвердый АШАН Красная птица сливочный 50% БЗМЖ, вес",АШАН Красная птица,699.9,899.99,https://www.auchan.ru/product/kp-syr-sliv-50-1-2-shara-ves/
1,48,tverdye_i_polutverdye,53364,"Сыр полутвердый АШАН Красная птица Тильзитер нарезка 45% БЗМЖ, 350 г",АШАН Красная птица,269,336.12,https://www.auchan.ru/product/syr-polutverdyy-auchan-krasnaya-ptica-tilziter-narezka-45-350-g/
1,48,tverdye_i_polutverdye,53362,"Сыр твердый АШАН Красная птица Эдам нарезка 45% БЗМЖ, 350 г",АШАН Красная птица,269,336.12,https://www.auchan.ru/product/syr-polutverdyy-auchan-krasnaya-ptica-edam-narezka-45-350-g/
1,48,tverdye_i_polutverdye,19967,"Сыр полутвердый АШАН Красная птица Тильзитер 35% БЗМЖ, 200 г",АШАН Красная птица,129.9,159.99,https://www.auchan.ru/product/syr-polutverdyy-lakomo-tilziter-45-250-g/
1,48,tverdye_i_polutverdye,53363,"Сыр полутвердый АШАН Красная птица Тильзитер нарезка 45% БЗМЖ, 150 г",АШАН Красная птица,119.9,146.99,https://www.auchan.ru/product/syr-polutverdyy-auchan-krasnaya-ptica-tilziter-narezka-45-150-g/
1,48,tverdye_i_polutverdye,5221,"Сыр твердый АШАН Красная птица Эдам тертый 45% БЗМЖ, 200 г",АШАН Красная птица,145.9,176.99,https://www.auchan.ru/product/syr-lakomo-edam-40-tertyy-200-g/
1,48,tverdye_i_polutverdye,9349,"Сыр полутвердый АШАН Красная птица Гауда 35% БЗМЖ, 200 г",АШАН Красная птица,139.9,159.99,https://www.auchan.ru/product/syr-polutverdyy-lakomo-gauda-48-250-g/
1,48,tverdye_i_polutverdye,19982,"Сыр твердый АШАН Красная птица Эдам 35% БЗМЖ, 200 г",АШАН Красная птица,139.9,159.99,https://www.auchan.ru/product/syr-polutverdyy-lakomo-edam-40-250-g/
1,48,tverdye_i_polutverdye,197071,"Сыр АШАН Красная птица Легкий БЗМЖ, 200 г",АШАН Красная птица,149.9,169.99,https://www.auchan.ru/product/kp-legkiy-kusok-200g/
1,48,tverdye_i_polutverdye,199094,"Сыр полутвердый Качотта с трюфелем АШАН Золотая птица БЗМЖ, 240 г",АШАН Золотая птица,439,499.99,https://www.auchan.ru/product/zp-syr-kachotta-s-tryufelem-240g/
1,48,tverdye_i_polutverdye,213739,"Сыр АШАН Красная птица Легкий в нарезке БЗМЖ, 350 г",АШАН Красная птица,269,299.99,https://www.auchan.ru/product/kp-legkiy-narezka-350g-bzmzh/
1,48,tverdye_i_polutverdye,236547,"Продукт молокосодерщащий «Любимый хуторок» бутербродный 50% ЗМЖ, вес",Любимый хуторок,57,,https://www.auchan.ru/product/produkt-zmzh-buterbrodnyy-50/
1,48,tverdye_i_polutverdye,287732,"Сыр Botticello Пармезан БЗМЖ, 180 г",Botticello,369.96,,https://www.auchan.ru/product/syr-parm-botticello-12m-180g/
1,48,tverdye_i_polutverdye,181317,"Сыр Cheese Gallery Лайт 9% БЗМЖ, 200 г",Cheese Gallery,234.99,,https://www.auchan.ru/product/syr-layt-cheese-gallery-9-200g/
1,48,tverdye_i_polutverdye,212154,"Сыр Dolce Granto Пармезан в лепестках БЗМЖ, 150 г",Dolce Granto,312.99,,https://www.auchan.ru/product/syr-parmezan-dolce-lep-150g-bzmzh/
1,48,tverdye_i_polutverdye,219019,"Сыр Dziugas БЗМЖ, 200 г",Dziugas,460.99,,https://www.auchan.ru/product/syr-dzhyugas-200-gr-bzmzh/
1,48,tverdye_i_polutverdye,299689,"Сыр G-balance из козьего молока 45% БЗМЖ, 200 г",G-balance,588.99,,https://www.auchan.ru/product/syr-koziy-g-balans-45-200g/
1,48,tverdye_i_polutverdye,271953,"Сыр Laime  Маасдам 45%, 110 г",Laime,342.99,,https://www.auchan.ru/product/syr-maasdam-45-laime-110g/
1,48,tverdye_i_polutverdye,302350,"Сыр Laime Diamond пармезан 40%, 180 г",Laime,531.99,,https://www.auchan.ru/product/syr-parmezan-diamond-40-180g/
1,48,tverdye_i_polutverdye,252077,"Сыр Laime Маасдам 45% БЗМЖ, 125 г",Laime,192.99,,https://www.auchan.ru/product/syr-maasdam-laime-45-125g/
1,48,tverdye_i_polutverdye,255471,"Сыр Laime Маасдам 45% БЗМЖ, 200 г",Laime,289.99,,https://www.auchan.ru/product/syr-maasdam-layme-45-200g/
1,48,tverdye_i_polutverdye,219022,"Сыр Laime Пармезан 40% БЗМЖ, 185 г",Laime,392.99,,https://www.auchan.ru/product/syr-parmezan-layme-40-185g/
